feature,importance
opcode_dec,0.19105981
opcode_movnti,0.122906975
num_sections,0.1056868
opcode_push,0.07399743
opcode_int3,0.035758615
file_size,0.030035276
opcode_bts,0.027113453
opcode_test,0.025808016
port_53,0.025544668
api_ReadFile,0.022067988
opcode_movsx,0.02084171
opcode_leave,0.017952915
opcode_jge,0.016677316
opcode_ja,0.016174205
opcode_jnp,0.012638421
opcode_salc,0.012054303
min_entropy,0.011753902
api_LoadLibraryA,0.010692649
max_entropy,0.010502346
opcode_je,0.01042766
num_imported_dlls,0.0083655855
opcode_js,0.008297366
opcode_xchg,0.00822863
port_22,0.008071116
opcode_ror,0.007953417
port_80,0.0076224585
port_21,0.0070964918
opcode_jp,0.0064187017
api_GetProcAddress,0.0062370226
opcode_cmovne,0.006236372
opcode_add,0.0060001337
opcode_nop,0.0057125785
string_count,0.0054677124
num_suspicious_strings,0.005265743
opcode_xor,0.0051433444
opcode_fiadd,0.0049296953
opcode_jle,0.0049253823
opcode_sub,0.0048268386
opcode_pop,0.004266066
opcode_rep stosb,0.004170298
opcode_movups,0.003868281
opcode_count,0.003863674
opcode_jmp,0.0037652175
opcode_setne,0.0035757145
opcode_inc,0.003483442
port_25,0.0032751157
opcode_call,0.0029329876
opcode_imul,0.0029305636
port_110,0.0027746349
opcode_jo,0.0026497438
opcode_ret,0.0024746524
avg_entropy,0.0021242376
num_imported_apis,0.0020721634
opcode_les,0.002065141
api_VirtualFree,0.0020345377
opcode_sbb,0.0019413149
api_WriteFile,0.0018933052
opcode_sldt,0.0018915324
opcode_adc,0.0018176098
opcode_into,0.0017153214
port_23,0.0015892779
opcode_cld,0.0015886677
opcode_jne,0.0015297764
opcode_cmpsb,0.0014770528
opcode_wait,0.0014763719
opcode_enter,0.0014554521
api_RegSetValueExW,0.0013906555
opcode_and,0.0013052601
api_RegOpenKeyExW,0.0011975899
opcode_mov,0.0011366938
opcode_or,0.0010999194
opcode_outsd,0.0010467669
opcode_cmp,0.001020386
opcode_lea,0.0008881079
opcode_insd,0.00081420265
opcode_jae,0.0006637508
opcode_arpl,0.0004965968
opcode_std,0.00049144303
opcode_fisubr,0.00045993383
opcode_iretd,0.00045835276
opcode_jb,0.00033517787
opcode_paddb,0.0
opcode_pand,0.0
api_CreateProcessW,0.0
opcode_setle,0.0
opcode_fxam,0.0
opcode_fsub,0.0
opcode_cmovge,0.0
opcode_verw,0.0
opcode_lock sub,0.0
opcode_cmpxchg,0.0
opcode_ffreep,0.0
opcode_seto,0.0
opcode_popaw,0.0
opcode_fldenv,0.0
opcode_xorps,0.0
opcode_shl,0.0
opcode_jbe,0.0
opcode_shr,0.0
opcode_movzx,0.0
opcode_neg,0.0
opcode_cmovle,0.0
opcode_jns,0.0
opcode_jg,0.0
port_3389,0.0
port_445,0.0
port_443,0.0
port_143,0.0
port_139,0.0
port_135,0.0
opcode_movss,0.0
opcode_sar,0.0
opcode_cmovns,0.0
opcode_cmovo,0.0
opcode_jl,0.0
opcode_movsd,0.0
opcode_sete,0.0
opcode_mul,0.0
opcode_movaps,0.0
opcode_cmove,0.0
opcode_cwde,0.0
opcode_cmova,0.0
opcode_movdqu,0.0
opcode_lock xadd,0.0
opcode_cdq,0.0
opcode_cli,0.0
opcode_aam,0.0
opcode_popal,0.0
opcode_insb,0.0
opcode_outsb,0.0
opcode_bound,0.0
opcode_not,0.0
opcode_bt,0.0
opcode_lock cmpxchg,0.0
opcode_ucomisd,0.0
opcode_repne scasb,0.0
opcode_repe cmpsb,0.0
opcode_cmovbe,0.0
opcode_lock dec,0.0
opcode_btr,0.0
opcode_cpuid,0.0
opcode_movdqa,0.0
opcode_cmovae,0.0
opcode_stosb,0.0
opcode_int,0.0
opcode_rep movsb,0.0
opcode_div,0.0
opcode_lock add,0.0
opcode_das,0.0
opcode_fsubr,0.0
opcode_daa,0.0
opcode_mulss,0.0
opcode_aaa,0.0
opcode_retf,0.0
opcode_fmul,0.0
opcode_rcl,0.0
opcode_out,0.0
opcode_lcall,0.0
opcode_lock inc,0.0
opcode_cmovb,0.0
opcode_movntps,0.0
opcode_prefetchnta,0.0
opcode_bswap,0.0
opcode_addsd,0.0
opcode_comisd,0.0
opcode_mulsd,0.0
opcode_subsd,0.0
opcode_paddd,0.0
opcode_lock or,0.0
opcode_bnd ret,0.0
opcode_rol,0.0
opcode_lfence,0.0
opcode_ficom,0.0
opcode_fimul,0.0
opcode_in,0.0
opcode_ficomp,0.0
opcode_cmovs,0.0
api_SetWindowsHookExW,0.0
api_CreateFileW,0.0
api_CreateThread,0.0
api_URLDownloadToFile,0.0
api_InternetConnect,0.0
api_InternetOpen,0.0
api_ShellExecuteExW,0.0
api_ShellExecuteW,0.0
api_WinExec,0.0
api_TerminateProcess,0.0
api_ReadProcessMemory,0.0
api_WriteProcessMemory,0.0
api_CreateRemoteThread,0.0
opcode_movd,0.0
opcode_setns,0.0
opcode_idiv,0.0
opcode_addss,0.0
opcode_prefetchw,0.0
opcode_lds,0.0
opcode_lock xor,0.0
opcode_stc,0.0
opcode_sti,0.0
opcode_sal,0.0
opcode_scasd,0.0
opcode_movq,0.0
opcode_movntdq,0.0
opcode_bnd jne,0.0
opcode_fild,0.0
opcode_aas,0.0
opcode_sets,0.0
opcode_punpckldq,0.0
opcode_fcomi,0.0
opcode_wbinvd,0.0
opcode_cmpsd,0.0
opcode_cmc,0.0
opcode_ljmp,0.0
opcode_psrldq,0.0
opcode_pxor,0.0
opcode_lock bts,0.0
opcode_clc,0.0
opcode_fabs,0.0
opcode_fisttp,0.0
opcode_lodsd,0.0
opcode_setg,0.0
opcode_stosd,0.0
opcode_ucomiss,0.0
opcode_frstor,0.0
opcode_subss,0.0
opcode_fld,0.0
opcode_fnsave,0.0
opcode_fcomp,0.0
opcode_fisub,0.0
opcode_loopne,0.0
opcode_lahf,0.0
opcode_setb,0.0
opcode_comiss,0.0
opcode_fadd,0.0
opcode_fldcw,0.0
opcode_vmwrite,0.0
opcode_int1,0.0
opcode_invlpg,0.0
opcode_loop,0.0
opcode_bsf,0.0
opcode_pcmpgtd,0.0
opcode_fstp,0.0
opcode_fdiv,0.0
opcode_fist,0.0
opcode_scasb,0.0
opcode_xlatb,0.0
opcode_hlt,0.0
opcode_fnstsw,0.0
opcode_pushal,0.0
opcode_popfd,0.0
opcode_pushfd,0.0
opcode_rcr,0.0
opcode_jno,0.0
opcode_sahf,0.0
opcode_rep stosd,0.0
opcode_paddw,0.0
opcode_addps,0.0
opcode_shufps,0.0
opcode_psubusw,0.0
opcode_mulps,0.0
opcode_psubd,0.0
opcode_psrlq,0.0
opcode_subps,0.0
opcode_movsw,0.0
opcode_rep movsd,0.0
opcode_fcmove,0.0
opcode_fistp,0.0
opcode_fidivr,0.0
opcode_aad,0.0
opcode_movsb,0.0
opcode_loope,0.0
opcode_lsl,0.0
opcode_lodsb,0.0
opcode_fpatan,0.0
opcode_pcmpgtb,0.0
opcode_psrld,0.0
opcode_pslld,0.0
opcode_pshufw,0.0
opcode_bndldx,0.0
opcode_punpcklqdq,0.0
opcode_ud2,0.0
opcode_fxch,0.0
opcode_fst,0.0
opcode_fsin,0.0
opcode_fdivr,0.0
opcode_sgdt,0.0
opcode_outsw,0.0
opcode_fdisi8087_nop,0.0
opcode_fbstp,0.0
opcode_jecxz,0.0
opcode_fdivrp,0.0
opcode_lar,0.0
opcode_fldz,0.0
opcode_fnop,0.0
opcode_fidiv,0.0
opcode_insw,0.0
opcode_movhps,0.0
opcode_femms,0.0
opcode_fucomi,0.0
opcode_notrack call,0.0
opcode_fcom,0.0
opcode_bnd jmp,0.0
opcode_rdtsc,0.0
opcode_setl,0.0
api_VirtualAlloc,0.0
